	chao1
F01C_a21_e1te_CE_M	41.0
F01C_a21_e1te_CO_D	33.0
F01C_a21_e1te_CO_P	1.0
F01C_a2124_e1t2_FEC	53.0
F01C_a2124_e1t3_FEC	85.0
F01C_a2124_e1t4_FEC	67.0
F01C_a2124_e1t5_FEC	82.0
F01C_a2124_e1t6_FEC	46.0
F01C_a22_e1te_CE_M	81.0
F01C_a22_e1te_CO_D	1.0
F01C_a22_e1te_CO_P	124.0
F01C_a24_e1te_CE_M	57.0
F01C_a24_e1te_CO_D	40.0
F01C_a24_e1te_CO_P	96.0
F01C_a25_e1te_CE_M	70.0
F01C_a25_e1te_CO_D	115.0
F01C_a25_e1te_CO_P	154.0
F01C_a2528_e1t2_FEC	38.0
F01C_a2528_e1t3_FEC	48.0
F01C_a2528_e1t4_FEC	46.0
F01C_a2528_e1t5_FEC	43.0
F01C_a2528_e1t6_FEC	84.0
F01C_a26_e1te_CE_M	65.0
F01C_a26_e1te_CO_D	81.0
F01C_a26_e1te_CO_P	131.0
F01C_a27_e1te_CE_M	107.0
F01C_a27_e1te_CO_D	44.0
F01C_a27_e1te_CO_P	111.0
F01C_a28_e1te_CE_M	117.0
F01C_a28_e1te_CO_D	11.0
F01C_a28_e1te_CO_P	118.0
F01C_si01	210.0
F01C_si02	171.0
F01C_si03	192.0
F01C_si04	165.0
F01R_a04_e1te_CE_M	62.0
F01R_a04_e1te_CO_D	80.0
F01R_a04_e1te_CO_P	66.0
F01R_a0405_e1t2_FEC	29.0
F01R_a0405_e1t3_FEC	57.0
F01R_a0405_e1t4_FEC	74.0
F01R_a0405_e1t5_FEC	79.0
F01R_a0405_e1t6_FEC	61.0
F01R_a05_e1te_CE_M	68.0
F01R_a05_e1te_CO_D	89.0
F01R_a05_e1te_CO_P	109.0
F01R_a06_e1te_CE_M	92.0
F01R_a06_e1te_CO_D	77.0
F01R_a06_e1te_CO_P	139.0
F01R_a0608_e1t3_FEC	67.0
F01R_a0608_e1t4_FEC	58.0
F01R_a0608_e1t5_FEC	46.0
F01R_a0608_e1t6_FEC	53.0
F01R_a07_e1te_CE_M	61.0
F01R_a07_e1te_CO_D	55.0
F01R_a07_e1te_CO_P	96.0
F01R_a09_e1te_CE_M	39.0
F01R_a09_e1te_CO_D	100.0
F01R_a09_e1te_CO_P	76.0
F01R_a0912_e1t3_FEC	40.0
F01R_a0912_e1t4_FEC	32.0
F01R_a0912_e1t5_FEC	53.0
F01R_a0912_e1t6_FEC	100.0
F01R_a10_e1te_CE_M	44.0
F01R_a10_e1te_CO_D	74.0
F01R_a10_e1te_CO_P	72.0
F01R_a11_e1te_CE_M	81.0
F01R_a11_e1te_CO_D	61.0
F01R_a11_e1te_CO_P	89.0
F01R_a12_e1te_CE_M	72.0
F01R_a12_e1te_CO_D	61.0
F01R_a12_e1te_CO_P	67.0
F01R_si01	143.0
F01R_si02	120.0
F01R_si03	185.0
F01R_si04	105.0
M01C_a29_e1te_CE_M	53.0
M01C_a29_e1te_CO_D	36.0
M01C_a29_e1te_CO_P	144.0
M01C_a2933_e1t2_FEC	44.0
M01C_a2933_e1t3_FEC	54.0
M01C_a2933_e1t4_FEC	53.0
M01C_a2933_e1t5_FEC	52.0
M01C_a2933_e1t6_FEC	52.0
M01C_a30_e1te_CE_M	55.0
M01C_a30_e1te_CO_D	53.0
M01C_a30_e1te_CO_P	1.0
M01C_a31_e1te_CE_M	51.0
M01C_a31_e1te_CO_D	60.0
M01C_a31_e1te_CO_P	65.0
M01C_a32_e1te_CE_M	1.0
M01C_a32_e1te_CO_D	42.0
M01C_a32_e1te_CO_P	4.0
M01C_a40_e2te_CE_M	42.0
M01C_a40_e2te_CO_D	134.0
M01C_a40_e2te_CO_P	1.0
M01C_a4043_e2t2_FEC	73.0
M01C_a4043_e2t3_FEC	56.0
M01C_a4043_e2t4_FEC	54.0
M01C_a41_e2te_CE_M	62.0
M01C_a41_e2te_CO_D	57.0
M01C_a41_e2te_CO_P	58.0
M01C_a42_e2te_CE_M	1.0
M01C_a42_e2te_CO_D	40.0
M01C_a42_e2te_CO_P	67.0
M01C_a43_e2te_CE_M	50.0
M01C_a43_e2te_CO_D	58.0
M01C_a43_e2te_CO_P	67.0
M01C_si01	51.0
M01C_si02	31.0
M01C_si03	46.0
M01C_si04	37.0
M02R_a13_e1te_CE_M	69.0
M02R_a13_e1te_CO_D	75.0
M02R_a13_e1te_CO_P	65.0
M02R_a1316_e1t3_FEC	37.0
M02R_a1316_e1t4_FEC	61.0
M02R_a1316_e1t5_FEC	44.0
M02R_a1316_e1t6_FEC	11.0
M02R_a14_e1te_CE_M	108.0
M02R_a14_e1te_CO_D	84.0
M02R_a14_e1te_CO_P	105.0
M02R_a15_e1te_CE_M	106.0
M02R_a15_e1te_CO_D	103.0
M02R_a15_e1te_CO_P	129.0
M02R_a16_e1te_CE_M	89.0
M02R_a16_e1te_CO_D	26.0
M02R_a16_e1te_CO_P	88.0
M02R_a17_e1te_CE_M	97.0
M02R_a17_e1te_CO_D	53.0
M02R_a17_e1te_CO_P	44.0
M02R_a1720_e1t2_FEC	22.0
M02R_a1720_e1t3_FEC	51.0
M02R_a1720_e1t4_FEC	50.0
M02R_a1720_e1t5_FEC	83.0
M02R_a1720_e1t6_FEC	30.0
M02R_a18_e1te_CE_M	60.0
M02R_a18_e1te_CO_D	64.0
M02R_a18_e1te_CO_P	73.0
M02R_a3738_e2t2_FEC	89.0
M02R_a3738_e2t3_FEC	52.0
M02R_a3738_e2t4_FEC	94.0
M02R_si01	99.0
M02R_si02	79.0
M02R_si03	100.0
M02R_si04	87.0
M02R_si05	94.0
